Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Image,Photographer,Caption,Gallery Order
niwa 9753,niwa-9753,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,67041863ec4a33ea50e60c69,Mon Oct 07 2024 17:20:35 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:35 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/6704184c69af006617b4eb4e_Jimmy_NIWA_DE100-109753-web.webp,Karlo Ramos,Dining area of Niwa Japanese BBQ,30
niwa 2973,niwa-2973,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,670417efeb1a634dde2f91c9,Mon Oct 07 2024 17:18:39 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:18:39 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/670417cb0c6b25763e0a1476_Jimmy_NIWA_DE100-02973-web.webp,,Shrimp on a grill at Niwa Japanese BBQ.,28
niwa 9538,niwa-9538,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,670417b3b712bfb901001c84,Mon Oct 07 2024 17:17:39 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:17:39 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/67041791f176dcb99a453f98_Jimmy_NIWA_DE100-109538-web.webp,Karlo Ramos,Kitchen staff lining entrees at Niwa Japanese BBQ,26
niwa 2906,niwa-2906,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,670416db5585255045dc70a6,Mon Oct 07 2024 17:14:03 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:14:03 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/670416bc5ced47d016e29391_Jimmy_NIWA_DE100-02906-web.webp,Karlo Ramos,"Service worker shirt sleeve says ""Deep Ellum""",14
freeman bw 5,freeman-bw-5,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,6704114688d38c7e6f45daa6,Mon Oct 07 2024 16:50:14 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 16:50:14 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/67041121a141b204dd328db2_FREEMAN_BW_5-web.webp,Karlo Ramos,Commerce Street at night in Deep Ellum.,3
Niwa 109749,niwa-109749,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,6704108bba2eacfd3b194262,Mon Oct 07 2024 16:47:07 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 16:47:07 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/6704103da5e54f3b3d41a759_Jimmy_NIWA_DE100-109749-web.webp,Karlo Ramos,"Man wearing ""Defend Deep Ellum"" Hoodie standing at the bar in Niwa Japanese BBQ.",2
Freeman_11,freeman-11,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c963e5dd6965a53a26c,Wed Sep 25 2024 21:11:50 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:15:34 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47ee90ab646ba34e37059_Freeman_11-web.webp,Karlo Ramos,Cross street of Good Latimer Expry and Commerce Street in Deep Ellum.,20
Freeman_29,freeman-29,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c965d9872619946851c,Wed Sep 25 2024 21:11:50 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:16:23 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47ed25f85320b3c48436d_Freeman_29-web.webp,Karlo Ramos,"John Jay Myers, owner of The Free Man, performing on the drums.",24
Freeman_15,freeman-15,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c95834cd22a6c962b66,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:14:48 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47ecb12e4daffe4ed4b02_Freeman_15-web.webp,Karlo Ramos,Commerce Street at night in Deep Ellum.,18
FREEMAN_BW,freeman-bw,66d89e7dbc79369dffb59c05,66c787046581c1e604573941,66f47c95dcbd3758e5f74bfa,Wed Sep 25 2024 21:11:49 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:19:54 GMT+0000 (Coordinated Universal Time),Mon Oct 07 2024 17:20:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/66c787046581c1e604573942/66f47ec353385917cfd2bf9d_FREEMAN_BW.webp,Karlo Ramos,The Free Man's Neon Deep Ellum sign,29
