Track Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Track URL,Track Thumbnail,Track Number,Duration,Artist
Hella,hella,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8c26cff3ef3e1babdf3c1,Wed Sep 04 2024 20:26:20 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:46:45 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:50:09 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899890/Ducado_-_Hella._Clip2_ec4lmf.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,10,,ducado-vega
Crying Shame,crying-shame,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8c24ce8a6f7f90a630997,Wed Sep 04 2024 20:25:48 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 21:51:11 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 21:55:04 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899890/Labretta_Suede_-_Crying_Shame_Clip2_ehspxa.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,9,,labretta-suede-the-motel-6
Chicken Bone,chicken-bone,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8c203ff3ef3e1babd9f41,Wed Sep 04 2024 20:24:35 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:01:44 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:28:21 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899890/Chilldren_Of_Indigo_-_Chickenbone_Clip2_bcyuye.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,8,,chilldren-of-indigo
Highway Valley,highway-valley,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8c1ade8a6f7f90a62861c,Wed Sep 04 2024 20:23:09 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:01:58 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:28:21 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899891/Skinny_Cooks_-_Highway_Valley_1_bjxqtx.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,7,,skinny-cooks
Chosen,chosen,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8bfba1846e233a321f340,Wed Sep 04 2024 20:14:50 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:02:06 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:28:21 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899891/Skinny_Cooks_-_Highway_Valley_1_bjxqtx.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,6,,flower-child
Shaking Me Up,shaking-me-up,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8bfa31c243f8911f6a036,Wed Sep 04 2024 20:14:27 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:02:18 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:28:21 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899891/Stone_Mecca_-Shaking_Me_Up_1_wyltka.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,5,,stone-mecca
Darkland Desires,darkland-desires,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8bf86e3794924d744e30b,Wed Sep 04 2024 20:13:58 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:02:37 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:28:21 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899891/Memory_Shivers_-_Darkland_Desires_1_xlhgr0.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,4,,the-memory-shivers
Unbothered,unbothered,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8bf51728febdee3ea7250,Wed Sep 04 2024 20:13:05 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:02:44 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:28:21 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899890/Cure_For_Paranoia_-_Unbothered_Clip2_lix0ua.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,3,,cure-for-paranoia
Pace,pace,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8bf23a4f61cd14aacedbd,Wed Sep 04 2024 20:12:19 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:02:53 GMT+0000 (Coordinated Universal Time),Mon Sep 16 2024 17:28:21 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899891/Maya_Piata_-_Pace.-_Clip1_hckmqv.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,2,,maya-piata
Blue Part Four,blue-part-four,66d89b5cf54091c7f9b0111f,66c787046581c1e604573941,66d8ad4b289a736f773a7cca,Wed Sep 04 2024 18:56:11 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 21:48:33 GMT+0000 (Coordinated Universal Time),Wed Sep 18 2024 21:55:04 GMT+0000 (Coordinated Universal Time),https://res.cloudinary.com/dikess8pj/video/upload/v1725899891/Lorelei_K_-_Blue_Part_Four_Clip1_vnwacs.mp3,https://cdn.prod.website-files.com/66c787046581c1e604573942/66d8bbd8d45548cd47d4cb43_album-cover.webp,1,,lorelei-k
